Notes,County,County Code,Month,Month Code,Deaths,Population,Crude Rate
,"Adair County, OK",40001,"Jan., 2020",2020/01,0,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Feb., 2020",2020/02,0,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Mar., 2020",2020/03,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Apr., 2020",2020/04,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"May, 2020",2020/05,0,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Jun., 2020",2020/06,0,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Jul., 2020",2020/07,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Aug., 2020",2020/08,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Sep., 2020",2020/09,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Oct., 2020",2020/10,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Nov., 2020",2020/11,Suppressed,Not Applicable,Not Applicable
,"Adair County, OK",40001,"Dec., 2020",2020/12,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Jan., 2020",2020/01,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Feb., 2020",2020/02,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Mar., 2020",2020/03,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Apr., 2020",2020/04,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"May, 2020",2020/05,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Jun., 2020",2020/06,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Jul., 2020",2020/07,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Aug., 2020",2020/08,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Sep., 2020",2020/09,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Oct., 2020",2020/10,0,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Nov., 2020",2020/11,Suppressed,Not Applicable,Not Applicable
,"Alfalfa County, OK",40003,"Dec., 2020",2020/12,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Jan., 2020",2020/01,0,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Feb., 2020",2020/02,0,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Mar., 2020",2020/03,0,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Apr., 2020",2020/04,0,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"May, 2020",2020/05,0,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Jun., 2020",2020/06,0,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Jul., 2020",2020/07,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Aug., 2020",2020/08,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Sep., 2020",2020/09,Suppressed,Not Applicable,Not Applicable
,"Atoka County, OK",40005,"Oct., 2020",2020/10,Suppressed,Not Applicable,Not Applicable
