Notes,County,County Code,Month,Month Code,Weekday,Weekday Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,"Jan., 2018",2018/01,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jan., 2018",2018/01,Monday,2,14,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jan., 2018",2018/01,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jan., 2018",2018/01,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jan., 2018",2018/01,Thursday,5,12,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jan., 2018",2018/01,Friday,6,13,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jan., 2018",2018/01,Saturday,7,12,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jan., 2018",2018/01,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,Monday,2,11,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,Thursday,5,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,Saturday,7,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2018",2018/02,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,Sunday,1,12,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,Monday,2,12,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,Thursday,5,11,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,Friday,6,13,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,Saturday,7,14,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2018",2018/03,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,Sunday,1,13,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,Monday,2,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,Thursday,5,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,Saturday,7,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2018",2018/04,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,Monday,2,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,Tuesday,3,10,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,Thursday,5,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,Friday,6,12,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,Saturday,7,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2018",2018/05,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,Monday,2,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,Thursday,5,10,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,Friday,6,11,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,Saturday,7,14,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2018",2018/06,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,Monday,2,10,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,Tuesday,3,12,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,Thursday,5,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,Saturday,7,11,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2018",2018/07,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,Monday,2,10,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,Thursday,5,10,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,Saturday,7,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2018",2018/08,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,Monday,2,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,Thursday,5,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,Saturday,7,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2018",2018/09,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,Sunday,1,12,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,Monday,2,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,Tuesday,3,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,Wednesday,4,15,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,Thursday,5,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,Friday,6,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,Saturday,7,12,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2018",2018/10,Unknown,9,0,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2018",2018/11,Sunday,1,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2018",2018/11,Monday,2,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2018",2018/11,Tuesday,3,11,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2018",2018/11,Wednesday,4,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2018",2018/11,Thursday,5,Suppressed,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2018",2018/11,Friday,6,10,Not Applicable,Not Applicable
