Notes,County,County Code,Month,Month Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,"Jan., 2019",2019/01,35,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Feb., 2019",2019/02,29,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Mar., 2019",2019/03,36,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Apr., 2019",2019/04,48,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"May, 2019",2019/05,28,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jun., 2019",2019/06,36,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Jul., 2019",2019/07,29,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Aug., 2019",2019/08,31,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Sep., 2019",2019/09,31,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Oct., 2019",2019/10,24,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Nov., 2019",2019/11,38,Not Applicable,Not Applicable
,"Anderson County, TX",48001,"Dec., 2019",2019/12,40,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jan., 2019",2019/01,13,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Feb., 2019",2019/02,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Mar., 2019",2019/03,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Apr., 2019",2019/04,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"May, 2019",2019/05,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jun., 2019",2019/06,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Jul., 2019",2019/07,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Aug., 2019",2019/08,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Sep., 2019",2019/09,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Oct., 2019",2019/10,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Nov., 2019",2019/11,Suppressed,Not Applicable,Not Applicable
,"Andrews County, TX",48003,"Dec., 2019",2019/12,12,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jan., 2019",2019/01,63,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Feb., 2019",2019/02,36,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Mar., 2019",2019/03,61,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Apr., 2019",2019/04,50,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"May, 2019",2019/05,60,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jun., 2019",2019/06,45,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Jul., 2019",2019/07,48,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Aug., 2019",2019/08,56,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Sep., 2019",2019/09,49,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Oct., 2019",2019/10,42,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Nov., 2019",2019/11,42,Not Applicable,Not Applicable
,"Angelina County, TX",48005,"Dec., 2019",2019/12,59,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jan., 2019",2019/01,12,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Feb., 2019",2019/02,15,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Mar., 2019",2019/03,13,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Apr., 2019",2019/04,Suppressed,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"May, 2019",2019/05,20,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jun., 2019",2019/06,18,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Jul., 2019",2019/07,11,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Aug., 2019",2019/08,12,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Sep., 2019",2019/09,Suppressed,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Oct., 2019",2019/10,14,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Nov., 2019",2019/11,15,Not Applicable,Not Applicable
,"Aransas County, TX",48007,"Dec., 2019",2019/12,21,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Jan., 2019",2019/01,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Feb., 2019",2019/02,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Mar., 2019",2019/03,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Apr., 2019",2019/04,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"May, 2019",2019/05,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Jun., 2019",2019/06,13,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Jul., 2019",2019/07,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Aug., 2019",2019/08,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Sep., 2019",2019/09,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Oct., 2019",2019/10,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Nov., 2019",2019/11,Suppressed,Not Applicable,Not Applicable
,"Archer County, TX",48009,"Dec., 2019",2019/12,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Jan., 2019",2019/01,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Feb., 2019",2019/02,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Mar., 2019",2019/03,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Apr., 2019",2019/04,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"May, 2019",2019/05,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Jun., 2019",2019/06,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Jul., 2019",2019/07,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Aug., 2019",2019/08,Suppressed,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Sep., 2019",2019/09,0,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Oct., 2019",2019/10,0,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Nov., 2019",2019/11,0,Not Applicable,Not Applicable
,"Armstrong County, TX",48011,"Dec., 2019",2019/12,Suppressed,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Jan., 2019",2019/01,26,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Feb., 2019",2019/02,21,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Mar., 2019",2019/03,18,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Apr., 2019",2019/04,19,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"May, 2019",2019/05,16,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Jun., 2019",2019/06,19,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Jul., 2019",2019/07,23,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Aug., 2019",2019/08,28,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Sep., 2019",2019/09,17,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Oct., 2019",2019/10,31,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Nov., 2019",2019/11,19,Not Applicable,Not Applicable
,"Atascosa County, TX",48013,"Dec., 2019",2019/12,17,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Jan., 2019",2019/01,Suppressed,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Feb., 2019",2019/02,10,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Mar., 2019",2019/03,16,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Apr., 2019",2019/04,22,Not Applicable,Not Applicable
,"Austin County, TX",48015,"May, 2019",2019/05,13,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Jun., 2019",2019/06,13,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Jul., 2019",2019/07,10,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Aug., 2019",2019/08,17,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Sep., 2019",2019/09,21,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Oct., 2019",2019/10,16,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Nov., 2019",2019/11,11,Not Applicable,Not Applicable
,"Austin County, TX",48015,"Dec., 2019",2019/12,16,Not Applicable,Not Applicable
,"Bailey County, TX",48017,"Jan., 2019",2019/01,Suppressed,Not Applicable,Not Applicable
,"Bailey County, TX",48017,"Feb., 2019",2019/02,Suppressed,Not Applicable,Not Applicable
