Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,737,57805,1274.97621313
,"Andrews County, TX",48003,156,18879,826.314953123
,"Angelina County, TX",48005,1162,86796,1338.771371953
,"Aransas County, TX",48007,438,23814,1839.254220207
,"Archer County, TX",48009,89,8730,1019.473081329
,"Armstrong County, TX",48011,38,1869,2033.17281969
,"Atascosa County, TX",48013,573,51724,1107.802954141
,"Austin County, TX",48015,324,29972,1081.008941679
,"Bailey County, TX",48017,75,6697,1119.904434822
,"Bandera County, TX",48019,312,23861,1307.573027115
,"Bastrop County, TX",48021,826,91601,901.736880602
,"Baylor County, TX",48023,69,3518,1961.341671404
,"Bee County, TX",48025,321,32513,987.297388737
,"Bell County, TX",48027,2833,369927,765.826771228
,"Bexar County, TX",48029,16703,2026823,824.097614839
,"Blanco County, TX",48031,133,12269,1084.032928519
,"Borden County, TX",48033,Suppressed,706,Suppressed
,"Bosque County, TX",48035,334,18603,1795.409342579
,"Bowie County, TX",48037,1243,93481,1329.681967459
,"Brazoria County, TX",48039,2882,380518,757.388612365
,"Brazos County, TX",48041,1347,232555,579.217819441
,"Brewster County, TX",48043,103,9237,1115.080653892
,"Briscoe County, TX",48045,28,1487,1882.985877606
,"Brooks County, TX",48047,117,6964,1680.068925905
,"Brown County, TX",48049,671,37633,1783.009592645
,"Burleson County, TX",48051,257,18514,1388.138705844
,"Burnet County, TX",48053,592,49653,1192.274384226
,"Caldwell County, TX",48055,482,43979,1095.977625685
,"Calhoun County, TX",48057,253,21001,1204.704537879
,"Callahan County, TX",48059,234,14110,1658.398299079
,"Cameron County, TX",48061,4243,424180,1000.282898769
,"Camp County, TX",48063,201,13060,1539.050535988
,"Carson County, TX",48065,97,5854,1656.986675777
,"Cass County, TX",48067,541,29879,1810.636232806
,"Castro County, TX",48069,87,7396,1176.31151974
,"Chambers County, TX",48071,386,45590,846.67690283
,"Cherokee County, TX",48073,687,52875,1299.290780142
,"Childress County, TX",48075,86,7143,1203.975920482
,"Clay County, TX",48077,147,10550,1393.36492891
,"Cochran County, TX",48079,37,2897,1277.183293062
,"Coke County, TX",48081,62,3323,1865.783930184
,"Coleman County, TX",48083,152,8100,1876.543209876
,"Collin County, TX",48085,5722,1072069,533.73430255
