Notes,County,County Code,Deaths,Population,Crude Rate
,"Anderson County, TX",48001,737,57805,1275
,"Andrews County, TX",48003,156,18879,826.3
,"Angelina County, TX",48005,1162,86796,1338.8
,"Aransas County, TX",48007,438,23814,1839.3
,"Archer County, TX",48009,89,8730,1019.5
,"Armstrong County, TX",48011,38,1869,2033.2
,"Atascosa County, TX",48013,573,51724,1107.8
,"Austin County, TX",48015,324,29972,1081
,"Bailey County, TX",48017,75,6697,1119.9
,"Bandera County, TX",48019,312,23861,1307.6
,"Bastrop County, TX",48021,826,91601,901.7
,"Baylor County, TX",48023,69,3518,1961.3
,"Bee County, TX",48025,321,32513,987.3
,"Bell County, TX",48027,2833,369927,765.8
,"Bexar County, TX",48029,16703,2026823,824.1
,"Blanco County, TX",48031,133,12269,1084
,"Borden County, TX",48033,Suppressed,706,Suppressed
,"Bosque County, TX",48035,334,18603,1795.4
,"Bowie County, TX",48037,1243,93481,1329.7
,"Brazoria County, TX",48039,2882,380518,757.4
,"Brazos County, TX",48041,1347,232555,579.2
,"Brewster County, TX",48043,103,9237,1115.1
,"Briscoe County, TX",48045,28,1487,1883
,"Brooks County, TX",48047,117,6964,1680.1
,"Brown County, TX",48049,671,37633,1783
,"Burleson County, TX",48051,257,18514,1388.1
,"Burnet County, TX",48053,592,49653,1192.3
,"Caldwell County, TX",48055,482,43979,1096
,"Calhoun County, TX",48057,253,21001,1204.7
,"Callahan County, TX",48059,234,14110,1658.4
,"Cameron County, TX",48061,4243,424180,1000.3
,"Camp County, TX",48063,201,13060,1539.1
,"Carson County, TX",48065,97,5854,1657
,"Cass County, TX",48067,541,29879,1810.6
,"Castro County, TX",48069,87,7396,1176.3
,"Chambers County, TX",48071,386,45590,846.7
,"Cherokee County, TX",48073,687,52875,1299.3
,"Childress County, TX",48075,86,7143,1204
,"Clay County, TX",48077,147,10550,1393.4
,"Cochran County, TX",48079,37,2897,1277.2
,"Coke County, TX",48081,62,3323,1865.8
,"Coleman County, TX",48083,152,8100,1876.5
,"Collin County, TX",48085,5722,1072069,533.7
,"Collingsworth County, TX",48087,48,2877,1668.4
,"Colorado County, TX",48089,306,21610,1416
,"Comal County, TX",48091,1614,164812,979.3
,"Comanche County, TX",48093,238,13750,1730.9
,"Concho County, TX",48095,34,2827,1202.7
,"Cooke County, TX",48097,491,41393,1186.2
,"Coryell County, TX",48099,612,76737,797.5
,"Cottle County, TX",48101,35,1363,2567.9
,"Crane County, TX",48103,48,4765,1007.3
,"Crockett County, TX",48105,61,3513,1736.4
,"Crosby County, TX",48107,97,5567,1742.4
,"Culberson County, TX",48109,36,2149,1675.2
,"Dallam County, TX",48111,80,7273,1100
,"Dallas County, TX",48113,20071,2635888,761.5
,"Dawson County, TX",48115,193,12974,1487.6
,"Deaf Smith County, TX",48117,206,18277,1127.1
,"Delta County, TX",48119,90,5349,1682.6
,"Denton County, TX",48121,4864,919324,529.1
,"DeWitt County, TX",48123,304,20174,1506.9
,"Dickens County, TX",48125,42,2140,1962.6
,"Dimmit County, TX",48127,107,9925,1078.1
,"Donley County, TX",48129,55,3308,1662.6
,"Duval County, TX",48131,137,11058,1238.9
,"Eastland County, TX",48133,279,18388,1517.3
,"Ector County, TX",48135,1629,167701,971.4
,"Edwards County, TX",48137,34,1923,1768.1
