Notes,County,County Code,Deaths,Population
,"Anderson County, TX",48001,884,58402
,"Andrews County, TX",48003,159,18440
,"Angelina County, TX",48005,1257,86506
,"Aransas County, TX",48007,430,24510
,"Archer County, TX",48009,112,8681
,"Armstrong County, TX",48011,31,1839
,"Atascosa County, TX",48013,629,49939
,"Austin County, TX",48015,365,30380
,"Bailey County, TX",48017,81,6835
,"Bandera County, TX",48019,329,21565
,"Bastrop County, TX",48021,944,102058
,"Baylor County, TX",48023,81,3477
,"Bee County, TX",48025,399,30924
,"Bell County, TX",48027,3358,379617
,"Bexar County, TX",48029,18972,2028236
,"Blanco County, TX",48031,157,11886
,"Borden County, TX",48033,Suppressed,617
,"Bosque County, TX",48035,303,18503
,"Bowie County, TX",48037,1381,92581
,"Brazoria County, TX",48039,3458,379689
,"Brazos County, TX",48041,1414,237032
,"Brewster County, TX",48043,109,9450
,"Briscoe County, TX",48045,16,1403
,"Brooks County, TX",48047,98,6994
,"Brown County, TX",48049,647,38192
,"Burleson County, TX",48051,297,18051
,"Burnet County, TX",48053,693,50954
,"Caldwell County, TX",48055,489,46791
,"Calhoun County, TX",48057,268,19727
,"Callahan County, TX",48059,231,14115
,"Cameron County, TX",48061,3809,423029
,"Camp County, TX",48063,233,12616
,"Carson County, TX",48065,85,5746
,"Cass County, TX",48067,590,28560
,"Castro County, TX",48069,96,7374
,"Chambers County, TX",48071,418,48865
,"Cherokee County, TX",48073,795,51097
,"Childress County, TX",48075,84,6736
,"Clay County, TX",48077,152,10263
,"Cochran County, TX",48079,46,2516
,"Coke County, TX",48081,69,3321
,"Coleman County, TX",48083,214,7735
,"Collin County, TX",48085,6214,1109462
,"Collingsworth County, TX",48087,42,2615
,"Colorado County, TX",48089,344,20630
,"Comal County, TX",48091,1784,174986
,"Comanche County, TX",48093,220,13775
,"Concho County, TX",48095,34,3341
,"Cooke County, TX",48097,521,42244
,"Coryell County, TX",48099,706,84232
,"Cottle County, TX",48101,21,1381
