year,month,date,state,county,county_code,monthly_adj_deaths,monthly_crude_rate_10k,suppressed
2018,1,2018-01-01,OK,Adair,40001,16,7.245720496331854,FALSE
2018,2,2018-02-01,OK,Adair,40001,20,9.057150620414816,FALSE
2018,3,2018-03-01,OK,Adair,40001,15,6.792862965311112,FALSE
2018,4,2018-04-01,OK,Adair,40001,14,6.340005434290372,FALSE
2018,5,2018-05-01,OK,Adair,40001,5,2.264287655103704,TRUE
2018,6,2018-06-01,OK,Adair,40001,11,4.981432841228149,FALSE
2018,7,2018-07-01,OK,Adair,40001,10,4.528575310207408,FALSE
2018,8,2018-08-01,OK,Adair,40001,17,7.698578027352594,FALSE
2018,9,2018-09-01,OK,Adair,40001,5,2.264287655103704,TRUE
2018,10,2018-10-01,OK,Adair,40001,11,4.981432841228149,FALSE
2018,11,2018-11-01,OK,Adair,40001,5,2.264287655103704,TRUE
2018,12,2018-12-01,OK,Adair,40001,17,7.698578027352594,FALSE
2018,1,2018-01-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,2,2018-02-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,3,2018-03-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,4,2018-04-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,5,2018-05-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,6,2018-06-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,7,2018-07-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,8,2018-08-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,9,2018-09-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,10,2018-10-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,11,2018-11-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,12,2018-12-01,OK,Alfalfa,40003,5,8.689607229753216,TRUE
2018,1,2018-01-01,OK,Atoka,40005,18,13.007660066483597,FALSE
2018,2,2018-02-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,3,2018-03-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,4,2018-04-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,5,2018-05-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,6,2018-06-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,7,2018-07-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,8,2018-08-01,OK,Atoka,40005,10,7.2264778147131095,FALSE
2018,9,2018-09-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,10,2018-10-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,11,2018-11-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,12,2018-12-01,OK,Atoka,40005,5,3.6132389073565547,TRUE
2018,1,2018-01-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,2,2018-02-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,3,2018-03-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,4,2018-04-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,5,2018-05-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,6,2018-06-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,7,2018-07-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,8,2018-08-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,9,2018-09-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,10,2018-10-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,11,2018-11-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,12,2018-12-01,OK,Beaver,40007,5,9.400263207369807,TRUE
2018,1,2018-01-01,OK,Beckham,40009,14,6.448938228384541,FALSE
2018,2,2018-02-01,OK,Beckham,40009,12,5.527661338615321,FALSE
2018,3,2018-03-01,OK,Beckham,40009,11,5.067022893730711,FALSE
2018,4,2018-04-01,OK,Beckham,40009,16,7.370215118153761,FALSE
2018,5,2018-05-01,OK,Beckham,40009,16,7.370215118153761,FALSE
2018,6,2018-06-01,OK,Beckham,40009,5,2.3031922244230505,TRUE
2018,7,2018-07-01,OK,Beckham,40009,12,5.527661338615321,FALSE
2018,8,2018-08-01,OK,Beckham,40009,5,2.3031922244230505,TRUE
2018,9,2018-09-01,OK,Beckham,40009,17,7.830853563038371,FALSE
2018,10,2018-10-01,OK,Beckham,40009,5,2.3031922244230505,TRUE
2018,11,2018-11-01,OK,Beckham,40009,5,2.3031922244230505,TRUE
2018,12,2018-12-01,OK,Beckham,40009,12,5.527661338615321,FALSE
2018,1,2018-01-01,OK,Blaine,40011,5,5.271481286241434,TRUE
