year,state,county,county_code,annual_county_population,annual_all_deaths,annual_hospital_deaths,month,monthly_hospital_deaths,monthly_covid_hospital_deaths
2018,OK,Adair,40001,22082,257,156,Jan,16,0
2018,OK,Adair,40001,22082,257,156,Feb,20,0
2018,OK,Adair,40001,22082,257,156,Mar,15,0
2018,OK,Adair,40001,22082,257,156,Apr,14,0
2018,OK,Adair,40001,22082,257,156,May,Suppressed,0
2018,OK,Adair,40001,22082,257,156,Jun,11,0
2018,OK,Adair,40001,22082,257,156,Jul,10,0
2018,OK,Adair,40001,22082,257,156,Aug,17,0
2018,OK,Adair,40001,22082,257,156,Sep,Suppressed,0
2018,OK,Adair,40001,22082,257,156,Oct,11,0
2018,OK,Adair,40001,22082,257,156,Nov,Suppressed,0
2018,OK,Adair,40001,22082,257,156,Dec,17,0
2018,OK,Alfalfa,40003,5754,68,39,Jan,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Feb,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Mar,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Apr,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,May,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Jun,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Jul,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Aug,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Sep,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Oct,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Nov,Suppressed,0
2018,OK,Alfalfa,40003,5754,68,39,Dec,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Jan,18,0
2018,OK,Atoka,40005,13838,169,88,Feb,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Mar,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Apr,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,May,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Jun,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Jul,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Aug,10,0
2018,OK,Atoka,40005,13838,169,88,Sep,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Oct,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Nov,Suppressed,0
2018,OK,Atoka,40005,13838,169,88,Dec,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Jan,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Feb,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Mar,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Apr,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,May,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Jun,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Jul,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Aug,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Sep,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Oct,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Nov,Suppressed,0
2018,OK,Beaver,40007,5319,54,38,Dec,Suppressed,0
2018,OK,Beckham,40009,21709,237,145,Jan,14,0
2018,OK,Beckham,40009,21709,237,145,Feb,12,0
2018,OK,Beckham,40009,21709,237,145,Mar,11,0
2018,OK,Beckham,40009,21709,237,145,Apr,16,0
2018,OK,Beckham,40009,21709,237,145,May,16,0
2018,OK,Beckham,40009,21709,237,145,Jun,Suppressed,0
2018,OK,Beckham,40009,21709,237,145,Jul,12,0
2018,OK,Beckham,40009,21709,237,145,Aug,Suppressed,0
2018,OK,Beckham,40009,21709,237,145,Sep,17,0
2018,OK,Beckham,40009,21709,237,145,Oct,Suppressed,0
2018,OK,Beckham,40009,21709,237,145,Nov,Suppressed,0
2018,OK,Beckham,40009,21709,237,145,Dec,12,0
2018,OK,Blaine,40011,9485,126,79,Jan,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,Feb,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,Mar,12,0
2018,OK,Blaine,40011,9485,126,79,Apr,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,May,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,Jun,10,0
2018,OK,Blaine,40011,9485,126,79,Jul,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,Aug,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,Sep,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,Oct,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,Nov,Suppressed,0
2018,OK,Blaine,40011,9485,126,79,Dec,Suppressed,0
2018,OK,Bryan,40013,47192,502,322,Jan,39,0
2018,OK,Bryan,40013,47192,502,322,Feb,37,0
2018,OK,Bryan,40013,47192,502,322,Mar,26,0
2018,OK,Bryan,40013,47192,502,322,Apr,27,0
2018,OK,Bryan,40013,47192,502,322,May,28,0
2018,OK,Bryan,40013,47192,502,322,Jun,20,0
2018,OK,Bryan,40013,47192,502,322,Jul,22,0
2018,OK,Bryan,40013,47192,502,322,Aug,22,0
2018,OK,Bryan,40013,47192,502,322,Sep,24,0
2018,OK,Bryan,40013,47192,502,322,Oct,29,0
2018,OK,Bryan,40013,47192,502,322,Nov,23,0
2018,OK,Bryan,40013,47192,502,322,Dec,25,0
2018,OK,Caddo,40015,28977,403,258,Jan,30,0
2018,OK,Caddo,40015,28977,403,258,Feb,21,0
2018,OK,Caddo,40015,28977,403,258,Mar,14,0
2018,OK,Caddo,40015,28977,403,258,Apr,22,0
2018,OK,Caddo,40015,28977,403,258,May,20,0
2018,OK,Caddo,40015,28977,403,258,Jun,27,0
2018,OK,Caddo,40015,28977,403,258,Jul,18,0
2018,OK,Caddo,40015,28977,403,258,Aug,20,0
2018,OK,Caddo,40015,28977,403,258,Sep,24,0
2018,OK,Caddo,40015,28977,403,258,Oct,24,0
2018,OK,Caddo,40015,28977,403,258,Nov,21,0
2018,OK,Caddo,40015,28977,403,258,Dec,17,0
2018,OK,Canadian,40017,144447,1119,707,Jan,68,0
2018,OK,Canadian,40017,144447,1119,707,Feb,52,0
2018,OK,Canadian,40017,144447,1119,707,Mar,62,0
2018,OK,Canadian,40017,144447,1119,707,Apr,60,0
2018,OK,Canadian,40017,144447,1119,707,May,66,0
2018,OK,Canadian,40017,144447,1119,707,Jun,53,0
2018,OK,Canadian,40017,144447,1119,707,Jul,45,0
2018,OK,Canadian,40017,144447,1119,707,Aug,54,0
2018,OK,Canadian,40017,144447,1119,707,Sep,50,0
2018,OK,Canadian,40017,144447,1119,707,Oct,65,0
