year,state,county,county_code,month,weekday,wkday_hospital_deaths,covid_wkday_hospital_deaths
2018,OK,Adair,40001,Jan,Sunday,Suppressed,0
2018,OK,Adair,40001,Jan,Monday,Suppressed,0
2018,OK,Adair,40001,Jan,Tuesday,0,0
2018,OK,Adair,40001,Jan,Wednesday,Suppressed,0
2018,OK,Adair,40001,Jan,Thursday,0,0
2018,OK,Adair,40001,Jan,Friday,Suppressed,0
2018,OK,Adair,40001,Jan,Saturday,Suppressed,0
2018,OK,Adair,40001,Jan,Unknown,0,0
2018,OK,Adair,40001,Feb,Sunday,Suppressed,0
2018,OK,Adair,40001,Feb,Monday,Suppressed,0
2018,OK,Adair,40001,Feb,Tuesday,Suppressed,0
2018,OK,Adair,40001,Feb,Wednesday,Suppressed,0
2018,OK,Adair,40001,Feb,Thursday,Suppressed,0
2018,OK,Adair,40001,Feb,Friday,Suppressed,0
2018,OK,Adair,40001,Feb,Saturday,Suppressed,0
2018,OK,Adair,40001,Feb,Unknown,0,0
2018,OK,Adair,40001,Mar,Sunday,Suppressed,0
2018,OK,Adair,40001,Mar,Monday,Suppressed,0
2018,OK,Adair,40001,Mar,Tuesday,Suppressed,0
2018,OK,Adair,40001,Mar,Wednesday,Suppressed,0
2018,OK,Adair,40001,Mar,Thursday,Suppressed,0
2018,OK,Adair,40001,Mar,Friday,Suppressed,0
2018,OK,Adair,40001,Mar,Saturday,Suppressed,0
2018,OK,Adair,40001,Mar,Unknown,0,0
2018,OK,Adair,40001,Apr,Sunday,Suppressed,0
2018,OK,Adair,40001,Apr,Monday,Suppressed,0
2018,OK,Adair,40001,Apr,Tuesday,Suppressed,0
2018,OK,Adair,40001,Apr,Wednesday,Suppressed,0
2018,OK,Adair,40001,Apr,Thursday,Suppressed,0
2018,OK,Adair,40001,Apr,Friday,Suppressed,0
2018,OK,Adair,40001,Apr,Saturday,Suppressed,0
2018,OK,Adair,40001,Apr,Unknown,0,0
2018,OK,Adair,40001,May,Sunday,Suppressed,0
2018,OK,Adair,40001,May,Monday,0,0
2018,OK,Adair,40001,May,Tuesday,0,0
2018,OK,Adair,40001,May,Wednesday,Suppressed,0
2018,OK,Adair,40001,May,Thursday,Suppressed,0
2018,OK,Adair,40001,May,Friday,Suppressed,0
2018,OK,Adair,40001,May,Saturday,Suppressed,0
2018,OK,Adair,40001,May,Unknown,0,0
2018,OK,Adair,40001,Jun,Sunday,Suppressed,0
2018,OK,Adair,40001,Jun,Monday,0,0
2018,OK,Adair,40001,Jun,Tuesday,Suppressed,0
2018,OK,Adair,40001,Jun,Wednesday,Suppressed,0
2018,OK,Adair,40001,Jun,Thursday,Suppressed,0
2018,OK,Adair,40001,Jun,Friday,Suppressed,0
2018,OK,Adair,40001,Jun,Saturday,Suppressed,0
2018,OK,Adair,40001,Jun,Unknown,0,0
2018,OK,Adair,40001,Jul,Sunday,Suppressed,0
2018,OK,Adair,40001,Jul,Monday,Suppressed,0
2018,OK,Adair,40001,Jul,Tuesday,Suppressed,0
2018,OK,Adair,40001,Jul,Wednesday,Suppressed,0
2018,OK,Adair,40001,Jul,Thursday,Suppressed,0
2018,OK,Adair,40001,Jul,Friday,0,0
2018,OK,Adair,40001,Jul,Saturday,Suppressed,0
2018,OK,Adair,40001,Jul,Unknown,0,0
2018,OK,Adair,40001,Aug,Sunday,Suppressed,0
2018,OK,Adair,40001,Aug,Monday,Suppressed,0
2018,OK,Adair,40001,Aug,Tuesday,0,0
2018,OK,Adair,40001,Aug,Wednesday,Suppressed,0
2018,OK,Adair,40001,Aug,Thursday,Suppressed,0
2018,OK,Adair,40001,Aug,Friday,Suppressed,0
2018,OK,Adair,40001,Aug,Saturday,Suppressed,0
2018,OK,Adair,40001,Aug,Unknown,0,0
2018,OK,Adair,40001,Sep,Sunday,0,0
2018,OK,Adair,40001,Sep,Monday,Suppressed,0
2018,OK,Adair,40001,Sep,Tuesday,0,0
2018,OK,Adair,40001,Sep,Wednesday,Suppressed,0
2018,OK,Adair,40001,Sep,Thursday,Suppressed,0
2018,OK,Adair,40001,Sep,Friday,Suppressed,0
2018,OK,Adair,40001,Sep,Saturday,Suppressed,0
2018,OK,Adair,40001,Sep,Unknown,0,0
2018,OK,Adair,40001,Oct,Sunday,Suppressed,0
2018,OK,Adair,40001,Oct,Monday,0,0
2018,OK,Adair,40001,Oct,Tuesday,Suppressed,0
2018,OK,Adair,40001,Oct,Wednesday,Suppressed,0
2018,OK,Adair,40001,Oct,Thursday,Suppressed,0
2018,OK,Adair,40001,Oct,Friday,Suppressed,0
2018,OK,Adair,40001,Oct,Saturday,0,0
2018,OK,Adair,40001,Oct,Unknown,0,0
2018,OK,Adair,40001,Nov,Sunday,0,0
2018,OK,Adair,40001,Nov,Monday,0,0
2018,OK,Adair,40001,Nov,Tuesday,Suppressed,0
2018,OK,Adair,40001,Nov,Wednesday,Suppressed,0
2018,OK,Adair,40001,Nov,Thursday,Suppressed,0
2018,OK,Adair,40001,Nov,Friday,Suppressed,0
2018,OK,Adair,40001,Nov,Saturday,Suppressed,0
2018,OK,Adair,40001,Nov,Unknown,0,0
2018,OK,Adair,40001,Dec,Sunday,Suppressed,0
2018,OK,Adair,40001,Dec,Monday,Suppressed,0
2018,OK,Adair,40001,Dec,Tuesday,Suppressed,0
2018,OK,Adair,40001,Dec,Wednesday,0,0
2018,OK,Adair,40001,Dec,Thursday,Suppressed,0
2018,OK,Adair,40001,Dec,Friday,Suppressed,0
2018,OK,Adair,40001,Dec,Saturday,Suppressed,0
2018,OK,Adair,40001,Dec,Unknown,0,0
2018,OK,Alfalfa,40003,Jan,Sunday,0,0
2018,OK,Alfalfa,40003,Jan,Monday,Suppressed,0
