year,state,county,county_code,annual_county_population,annual_all_deaths,annual_hospital_deaths,month,monthly_hospital_deaths,monthly_covid_hospital_deaths
2018,TX,Anderson,48001,58057,692,409,Jan,48,0
2018,TX,Anderson,48001,58057,692,409,Feb,33,0
2018,TX,Anderson,48001,58057,692,409,Mar,51,0
2018,TX,Anderson,48001,58057,692,409,Apr,31,0
2018,TX,Anderson,48001,58057,692,409,May,22,0
2018,TX,Anderson,48001,58057,692,409,Jun,30,0
2018,TX,Anderson,48001,58057,692,409,Jul,31,0
2018,TX,Anderson,48001,58057,692,409,Aug,34,0
2018,TX,Anderson,48001,58057,692,409,Sep,23,0
2018,TX,Anderson,48001,58057,692,409,Oct,31,0
2018,TX,Anderson,48001,58057,692,409,Nov,40,0
2018,TX,Anderson,48001,58057,692,409,Dec,35,0
2018,TX,Andrews,48003,18128,130,89,Jan,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,Feb,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,Mar,11,0
2018,TX,Andrews,48003,18128,130,89,Apr,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,May,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,Jun,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,Jul,13,0
2018,TX,Andrews,48003,18128,130,89,Aug,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,Sep,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,Oct,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,Nov,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,Dec,11,0
2018,TX,Angelina,48005,87092,964,655,Jan,74,0
2018,TX,Angelina,48005,87092,964,655,Feb,60,0
2018,TX,Angelina,48005,87092,964,655,Mar,54,0
2018,TX,Angelina,48005,87092,964,655,Apr,52,0
2018,TX,Angelina,48005,87092,964,655,May,50,0
2018,TX,Angelina,48005,87092,964,655,Jun,51,0
2018,TX,Angelina,48005,87092,964,655,Jul,58,0
2018,TX,Angelina,48005,87092,964,655,Aug,59,0
2018,TX,Angelina,48005,87092,964,655,Sep,42,0
2018,TX,Angelina,48005,87092,964,655,Oct,47,0
2018,TX,Angelina,48005,87092,964,655,Nov,48,0
2018,TX,Angelina,48005,87092,964,655,Dec,60,0
2018,TX,Aransas,48007,23792,309,192,Jan,21,0
2018,TX,Aransas,48007,23792,309,192,Feb,24,0
2018,TX,Aransas,48007,23792,309,192,Mar,17,0
2018,TX,Aransas,48007,23792,309,192,Apr,Suppressed,0
2018,TX,Aransas,48007,23792,309,192,May,11,0
2018,TX,Aransas,48007,23792,309,192,Jun,15,0
2018,TX,Aransas,48007,23792,309,192,Jul,19,0
2018,TX,Aransas,48007,23792,309,192,Aug,16,0
2018,TX,Aransas,48007,23792,309,192,Sep,11,0
2018,TX,Aransas,48007,23792,309,192,Oct,19,0
2018,TX,Aransas,48007,23792,309,192,Nov,16,0
2018,TX,Aransas,48007,23792,309,192,Dec,15,0
2018,TX,Archer,48009,8786,80,54,Jan,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Feb,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Mar,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Apr,Suppressed,0
2018,TX,Archer,48009,8786,80,54,May,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Jun,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Jul,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Aug,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Sep,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Oct,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Nov,Suppressed,0
2018,TX,Archer,48009,8786,80,54,Dec,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Jan,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Feb,0,0
2018,TX,Armstrong,48011,1892,26,20,Mar,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Apr,0,0
2018,TX,Armstrong,48011,1892,26,20,May,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Jun,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Jul,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Aug,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Sep,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Oct,Suppressed,0
2018,TX,Armstrong,48011,1892,26,20,Nov,0,0
2018,TX,Armstrong,48011,1892,26,20,Dec,Suppressed,0
2018,TX,Atascosa,48013,50310,430,252,Jan,27,0
2018,TX,Atascosa,48013,50310,430,252,Feb,19,0
2018,TX,Atascosa,48013,50310,430,252,Mar,28,0
2018,TX,Atascosa,48013,50310,430,252,Apr,19,0
2018,TX,Atascosa,48013,50310,430,252,May,14,0
2018,TX,Atascosa,48013,50310,430,252,Jun,30,0
2018,TX,Atascosa,48013,50310,430,252,Jul,17,0
2018,TX,Atascosa,48013,50310,430,252,Aug,21,0
2018,TX,Atascosa,48013,50310,430,252,Sep,17,0
2018,TX,Atascosa,48013,50310,430,252,Oct,22,0
2018,TX,Atascosa,48013,50310,430,252,Nov,24,0
2018,TX,Atascosa,48013,50310,430,252,Dec,14,0
2018,TX,Austin,48015,29989,279,168,Jan,18,0
2018,TX,Austin,48015,29989,279,168,Feb,15,0
2018,TX,Austin,48015,29989,279,168,Mar,14,0
2018,TX,Austin,48015,29989,279,168,Apr,11,0
2018,TX,Austin,48015,29989,279,168,May,15,0
2018,TX,Austin,48015,29989,279,168,Jun,10,0
2018,TX,Austin,48015,29989,279,168,Jul,16,0
2018,TX,Austin,48015,29989,279,168,Aug,11,0
2018,TX,Austin,48015,29989,279,168,Sep,16,0
2018,TX,Austin,48015,29989,279,168,Oct,12,0
2018,TX,Austin,48015,29989,279,168,Nov,14,0
2018,TX,Austin,48015,29989,279,168,Dec,16,0
2018,TX,Bailey,48017,7027,56,33,Jan,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Feb,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Mar,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Apr,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,May,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Jun,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Jul,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Aug,0,0
2018,TX,Bailey,48017,7027,56,33,Sep,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Oct,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Nov,Suppressed,0
2018,TX,Bailey,48017,7027,56,33,Dec,Suppressed,0
2018,TX,Bandera,48019,22824,262,135,Jan,19,0
2018,TX,Bandera,48019,22824,262,135,Feb,15,0
2018,TX,Bandera,48019,22824,262,135,Mar,12,0
2018,TX,Bandera,48019,22824,262,135,Apr,11,0
2018,TX,Bandera,48019,22824,262,135,May,14,0
2018,TX,Bandera,48019,22824,262,135,Jun,Suppressed,0
2018,TX,Bandera,48019,22824,262,135,Jul,10,0
2018,TX,Bandera,48019,22824,262,135,Aug,Suppressed,0
2018,TX,Bandera,48019,22824,262,135,Sep,Suppressed,0
2018,TX,Bandera,48019,22824,262,135,Oct,12,0
2018,TX,Bandera,48019,22824,262,135,Nov,14,0
2018,TX,Bandera,48019,22824,262,135,Dec,Suppressed,0
2018,TX,Bastrop,48021,86976,723,424,Jan,48,0
2018,TX,Bastrop,48021,86976,723,424,Feb,33,0
2018,TX,Bastrop,48021,86976,723,424,Mar,36,0
2018,TX,Bastrop,48021,86976,723,424,Apr,32,0
2018,TX,Bastrop,48021,86976,723,424,May,33,0
2018,TX,Bastrop,48021,86976,723,424,Jun,34,0
2018,TX,Bastrop,48021,86976,723,424,Jul,33,0
2018,TX,Bastrop,48021,86976,723,424,Aug,39,0
2018,TX,Bastrop,48021,86976,723,424,Sep,34,0
2018,TX,Bastrop,48021,86976,723,424,Oct,29,0
2018,TX,Bastrop,48021,86976,723,424,Nov,31,0
2018,TX,Bastrop,48021,86976,723,424,Dec,42,0
2018,TX,Baylor,48023,3582,68,54,Jan,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Feb,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Mar,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Apr,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,May,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Jun,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Jul,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Aug,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Sep,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Oct,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Nov,Suppressed,0
2018,TX,Baylor,48023,3582,68,54,Dec,Suppressed,0
2018,TX,Bee,48025,32587,293,188,Jan,21,0
2018,TX,Bee,48025,32587,293,188,Feb,19,0
2018,TX,Bee,48025,32587,293,188,Mar,14,0
2018,TX,Bee,48025,32587,293,188,Apr,19,0
2018,TX,Bee,48025,32587,293,188,May,15,0
2018,TX,Bee,48025,32587,293,188,Jun,17,0
2018,TX,Bee,48025,32587,293,188,Jul,17,0
2018,TX,Bee,48025,32587,293,188,Aug,Suppressed,0
2018,TX,Bee,48025,32587,293,188,Sep,15,0
2018,TX,Bee,48025,32587,293,188,Oct,13,0
2018,TX,Bee,48025,32587,293,188,Nov,19,0
2018,TX,Bee,48025,32587,293,188,Dec,14,0
2018,TX,Bell,48027,355642,2337,1438,Jan,171,0
2018,TX,Bell,48027,355642,2337,1438,Feb,114,0
2018,TX,Bell,48027,355642,2337,1438,Mar,115,0
2018,TX,Bell,48027,355642,2337,1438,Apr,102,0
2018,TX,Bell,48027,355642,2337,1438,May,116,0
2018,TX,Bell,48027,355642,2337,1438,Jun,120,0
2018,TX,Bell,48027,355642,2337,1438,Jul,109,0
2018,TX,Bell,48027,355642,2337,1438,Aug,108,0
2018,TX,Bell,48027,355642,2337,1438,Sep,98,0
2018,TX,Bell,48027,355642,2337,1438,Oct,121,0
2018,TX,Bell,48027,355642,2337,1438,Nov,137,0
2018,TX,Bell,48027,355642,2337,1438,Dec,127,0
2018,TX,Bexar,48029,1986049,14165,7920,Jan,861,0
2018,TX,Bexar,48029,1986049,14165,7920,Feb,708,0
2018,TX,Bexar,48029,1986049,14165,7920,Mar,644,0
2018,TX,Bexar,48029,1986049,14165,7920,Apr,633,0
2018,TX,Bexar,48029,1986049,14165,7920,May,618,0
