year,state,county,county_code,annual_county_population,annual_all_deaths,annual_hospital_deaths,month,monthly_hospital_deaths,covid_monthly_hospital_deaths
2021,TX,Anderson,48001,58402,884,543,Jan,73,25
2021,TX,Anderson,48001,58402,884,543,Feb,42,10
2021,TX,Anderson,48001,58402,884,543,Mar,30,Suppressed
2021,TX,Anderson,48001,58402,884,543,Apr,41,Suppressed
2021,TX,Anderson,48001,58402,884,543,May,36,Suppressed
2021,TX,Anderson,48001,58402,884,543,Jun,36,Suppressed
2021,TX,Anderson,48001,58402,884,543,Jul,32,Suppressed
2021,TX,Anderson,48001,58402,884,543,Aug,46,10
2021,TX,Anderson,48001,58402,884,543,Sep,85,41
2021,TX,Anderson,48001,58402,884,543,Oct,45,Suppressed
2021,TX,Anderson,48001,58402,884,543,Nov,41,Suppressed
2021,TX,Anderson,48001,58402,884,543,Dec,36,Suppressed
2021,TX,Andrews,48003,18440,159,104,Jan,15,12
2021,TX,Andrews,48003,18440,159,104,Feb,Suppressed,Suppressed
2021,TX,Andrews,48003,18440,159,104,Mar,Suppressed,Suppressed
2021,TX,Andrews,48003,18440,159,104,Apr,Suppressed,0
2021,TX,Andrews,48003,18440,159,104,May,Suppressed,0
2021,TX,Andrews,48003,18440,159,104,Jun,Suppressed,0
2021,TX,Andrews,48003,18440,159,104,Jul,Suppressed,0
2021,TX,Andrews,48003,18440,159,104,Aug,Suppressed,Suppressed
2021,TX,Andrews,48003,18440,159,104,Sep,11,Suppressed
2021,TX,Andrews,48003,18440,159,104,Oct,16,Suppressed
2021,TX,Andrews,48003,18440,159,104,Nov,Suppressed,Suppressed
2021,TX,Andrews,48003,18440,159,104,Dec,Suppressed,Suppressed
2021,TX,Angelina,48005,86506,1257,879,Jan,117,69
2021,TX,Angelina,48005,86506,1257,879,Feb,73,23
2021,TX,Angelina,48005,86506,1257,879,Mar,56,10
2021,TX,Angelina,48005,86506,1257,879,Apr,59,Suppressed
2021,TX,Angelina,48005,86506,1257,879,May,62,Suppressed
2021,TX,Angelina,48005,86506,1257,879,Jun,47,Suppressed
2021,TX,Angelina,48005,86506,1257,879,Jul,41,Suppressed
2021,TX,Angelina,48005,86506,1257,879,Aug,109,32
2021,TX,Angelina,48005,86506,1257,879,Sep,100,47
2021,TX,Angelina,48005,86506,1257,879,Oct,86,34
2021,TX,Angelina,48005,86506,1257,879,Nov,64,Suppressed
2021,TX,Angelina,48005,86506,1257,879,Dec,65,Suppressed
2021,TX,Aransas,48007,24510,430,212,Jan,20,Suppressed
2021,TX,Aransas,48007,24510,430,212,Feb,14,Suppressed
2021,TX,Aransas,48007,24510,430,212,Mar,22,Suppressed
2021,TX,Aransas,48007,24510,430,212,Apr,15,Suppressed
2021,TX,Aransas,48007,24510,430,212,May,20,Suppressed
2021,TX,Aransas,48007,24510,430,212,Jun,22,Suppressed
2021,TX,Aransas,48007,24510,430,212,Jul,15,Suppressed
2021,TX,Aransas,48007,24510,430,212,Aug,20,Suppressed
2021,TX,Aransas,48007,24510,430,212,Sep,25,Suppressed
2021,TX,Aransas,48007,24510,430,212,Oct,16,Suppressed
2021,TX,Aransas,48007,24510,430,212,Nov,Suppressed,Suppressed
2021,TX,Aransas,48007,24510,430,212,Dec,16,Suppressed
2021,TX,Archer,48009,8681,112,71,Jan,Suppressed,Suppressed
2021,TX,Archer,48009,8681,112,71,Feb,10,Suppressed
2021,TX,Archer,48009,8681,112,71,Mar,Suppressed,0
2021,TX,Archer,48009,8681,112,71,Apr,Suppressed,0
2021,TX,Archer,48009,8681,112,71,May,Suppressed,0
2021,TX,Archer,48009,8681,112,71,Jun,Suppressed,0
2021,TX,Archer,48009,8681,112,71,Jul,Suppressed,0
2021,TX,Archer,48009,8681,112,71,Aug,Suppressed,Suppressed
2021,TX,Archer,48009,8681,112,71,Sep,Suppressed,Suppressed
2021,TX,Archer,48009,8681,112,71,Oct,13,Suppressed
2021,TX,Archer,48009,8681,112,71,Nov,Suppressed,Suppressed
2021,TX,Archer,48009,8681,112,71,Dec,Suppressed,0
2021,TX,Armstrong,48011,1839,31,13,Jan,0,0
2021,TX,Armstrong,48011,1839,31,13,Feb,0,0
2021,TX,Armstrong,48011,1839,31,13,Mar,Suppressed,0
2021,TX,Armstrong,48011,1839,31,13,Apr,0,0
2021,TX,Armstrong,48011,1839,31,13,May,Suppressed,0
2021,TX,Armstrong,48011,1839,31,13,Jun,Suppressed,0
2021,TX,Armstrong,48011,1839,31,13,Jul,Suppressed,0
2021,TX,Armstrong,48011,1839,31,13,Aug,0,0
2021,TX,Armstrong,48011,1839,31,13,Sep,Suppressed,0
2021,TX,Armstrong,48011,1839,31,13,Oct,0,0
2021,TX,Armstrong,48011,1839,31,13,Nov,Suppressed,0
2021,TX,Armstrong,48011,1839,31,13,Dec,Suppressed,Suppressed
2021,TX,Atascosa,48013,49939,629,361,Jan,65,36
2021,TX,Atascosa,48013,49939,629,361,Feb,37,19
2021,TX,Atascosa,48013,49939,629,361,Mar,22,Suppressed
2021,TX,Atascosa,48013,49939,629,361,Apr,13,0
2021,TX,Atascosa,48013,49939,629,361,May,22,Suppressed
2021,TX,Atascosa,48013,49939,629,361,Jun,15,0
2021,TX,Atascosa,48013,49939,629,361,Jul,23,Suppressed
2021,TX,Atascosa,48013,49939,629,361,Aug,48,25
2021,TX,Atascosa,48013,49939,629,361,Sep,50,28
2021,TX,Atascosa,48013,49939,629,361,Oct,23,Suppressed
2021,TX,Atascosa,48013,49939,629,361,Nov,25,Suppressed
2021,TX,Atascosa,48013,49939,629,361,Dec,18,Suppressed
2021,TX,Austin,48015,30380,365,207,Jan,26,11
2021,TX,Austin,48015,30380,365,207,Feb,22,Suppressed
2021,TX,Austin,48015,30380,365,207,Mar,13,Suppressed
2021,TX,Austin,48015,30380,365,207,Apr,13,Suppressed
2021,TX,Austin,48015,30380,365,207,May,17,Suppressed
2021,TX,Austin,48015,30380,365,207,Jun,10,0
2021,TX,Austin,48015,30380,365,207,Jul,17,Suppressed
2021,TX,Austin,48015,30380,365,207,Aug,22,Suppressed
2021,TX,Austin,48015,30380,365,207,Sep,20,Suppressed
2021,TX,Austin,48015,30380,365,207,Oct,14,Suppressed
2021,TX,Austin,48015,30380,365,207,Nov,23,Suppressed
2021,TX,Austin,48015,30380,365,207,Dec,10,Suppressed
2021,TX,Bailey,48017,6835,81,58,Jan,Suppressed,Suppressed
2021,TX,Bailey,48017,6835,81,58,Feb,10,Suppressed
2021,TX,Bailey,48017,6835,81,58,Mar,Suppressed,Suppressed
2021,TX,Bailey,48017,6835,81,58,Apr,Suppressed,0
2021,TX,Bailey,48017,6835,81,58,May,Suppressed,0
2021,TX,Bailey,48017,6835,81,58,Jun,Suppressed,0
2021,TX,Bailey,48017,6835,81,58,Jul,Suppressed,Suppressed
2021,TX,Bailey,48017,6835,81,58,Aug,Suppressed,Suppressed
2021,TX,Bailey,48017,6835,81,58,Sep,12,Suppressed
2021,TX,Bailey,48017,6835,81,58,Oct,Suppressed,0
2021,TX,Bailey,48017,6835,81,58,Nov,Suppressed,Suppressed
2021,TX,Bailey,48017,6835,81,58,Dec,Suppressed,Suppressed
2021,TX,Bandera,48019,21565,329,180,Jan,26,Suppressed
2021,TX,Bandera,48019,21565,329,180,Feb,Suppressed,Suppressed
2021,TX,Bandera,48019,21565,329,180,Mar,14,Suppressed
2021,TX,Bandera,48019,21565,329,180,Apr,16,0
2021,TX,Bandera,48019,21565,329,180,May,13,Suppressed
2021,TX,Bandera,48019,21565,329,180,Jun,14,Suppressed
2021,TX,Bandera,48019,21565,329,180,Jul,14,Suppressed
2021,TX,Bandera,48019,21565,329,180,Aug,12,Suppressed
2021,TX,Bandera,48019,21565,329,180,Sep,19,11
2021,TX,Bandera,48019,21565,329,180,Oct,24,Suppressed
2021,TX,Bandera,48019,21565,329,180,Nov,12,Suppressed
2021,TX,Bandera,48019,21565,329,180,Dec,Suppressed,Suppressed
2021,TX,Bastrop,48021,102058,944,527,Jan,53,17
2021,TX,Bastrop,48021,102058,944,527,Feb,57,14
2021,TX,Bastrop,48021,102058,944,527,Mar,46,Suppressed
2021,TX,Bastrop,48021,102058,944,527,Apr,25,Suppressed
2021,TX,Bastrop,48021,102058,944,527,May,35,Suppressed
2021,TX,Bastrop,48021,102058,944,527,Jun,33,Suppressed
2021,TX,Bastrop,48021,102058,944,527,Jul,49,Suppressed
2021,TX,Bastrop,48021,102058,944,527,Aug,51,20
