county_code,month,weekday,wkday_hospital_deaths,covid_wkday_hospital_deaths
48001,Jan,Sunday,13,Suppressed
48001,Jan,Monday,10,Suppressed
48001,Jan,Tuesday,Suppressed,Suppressed
48001,Jan,Wednesday,Suppressed,Suppressed
48001,Jan,Thursday,10,Suppressed
48001,Jan,Friday,Suppressed,Suppressed
48001,Jan,Saturday,16,Suppressed
48001,Jan,Unknown,0,0
48001,Feb,Sunday,Suppressed,Suppressed
48001,Feb,Monday,Suppressed,0
48001,Feb,Tuesday,Suppressed,Suppressed
48001,Feb,Wednesday,Suppressed,Suppressed
48001,Feb,Thursday,Suppressed,Suppressed
48001,Feb,Friday,Suppressed,Suppressed
48001,Feb,Saturday,Suppressed,Suppressed
48001,Feb,Unknown,0,0
48001,Mar,Sunday,Suppressed,0
48001,Mar,Monday,Suppressed,Suppressed
48001,Mar,Tuesday,Suppressed,0
48001,Mar,Wednesday,Suppressed,Suppressed
48001,Mar,Thursday,Suppressed,0
48001,Mar,Friday,Suppressed,0
48001,Mar,Saturday,Suppressed,0
48001,Mar,Unknown,0,0
48001,Apr,Sunday,Suppressed,Suppressed
48001,Apr,Monday,Suppressed,0
48001,Apr,Tuesday,Suppressed,Suppressed
48001,Apr,Wednesday,Suppressed,Suppressed
48001,Apr,Thursday,Suppressed,Suppressed
48001,Apr,Friday,Suppressed,Suppressed
48001,Apr,Saturday,Suppressed,0
48001,Apr,Unknown,0,0
48001,May,Sunday,Suppressed,Suppressed
48001,May,Monday,Suppressed,Suppressed
48001,May,Tuesday,Suppressed,Suppressed
48001,May,Wednesday,Suppressed,0
48001,May,Thursday,Suppressed,Suppressed
48001,May,Friday,Suppressed,Suppressed
48001,May,Saturday,Suppressed,0
48001,May,Unknown,0,0
48001,Jun,Sunday,Suppressed,Suppressed
48001,Jun,Monday,Suppressed,Suppressed
48001,Jun,Tuesday,Suppressed,0
48001,Jun,Wednesday,Suppressed,0
48001,Jun,Thursday,Suppressed,Suppressed
48001,Jun,Friday,Suppressed,0
48001,Jun,Saturday,Suppressed,0
48001,Jun,Unknown,0,0
48001,Jul,Sunday,Suppressed,0
48001,Jul,Monday,Suppressed,0
48001,Jul,Tuesday,Suppressed,Suppressed
48001,Jul,Wednesday,Suppressed,0
48001,Jul,Thursday,Suppressed,Suppressed
48001,Jul,Friday,Suppressed,0
48001,Jul,Saturday,Suppressed,0
48001,Jul,Unknown,0,0
48001,Aug,Sunday,Suppressed,Suppressed
48001,Aug,Monday,10,Suppressed
48001,Aug,Tuesday,Suppressed,Suppressed
48001,Aug,Wednesday,Suppressed,Suppressed
48001,Aug,Thursday,Suppressed,Suppressed
48001,Aug,Friday,Suppressed,0
48001,Aug,Saturday,Suppressed,Suppressed
48001,Aug,Unknown,0,0
48001,Sep,Sunday,Suppressed,Suppressed
48001,Sep,Monday,16,Suppressed
48001,Sep,Tuesday,22,12
48001,Sep,Wednesday,11,Suppressed
48001,Sep,Thursday,Suppressed,Suppressed
48001,Sep,Friday,Suppressed,Suppressed
48001,Sep,Saturday,13,Suppressed
48001,Sep,Unknown,0,0
48001,Oct,Sunday,Suppressed,Suppressed
48001,Oct,Monday,Suppressed,Suppressed
48001,Oct,Tuesday,Suppressed,Suppressed
48001,Oct,Wednesday,Suppressed,Suppressed
48001,Oct,Thursday,Suppressed,Suppressed
48001,Oct,Friday,Suppressed,Suppressed
48001,Oct,Saturday,Suppressed,Suppressed
48001,Oct,Unknown,0,0
48001,Nov,Sunday,Suppressed,Suppressed
48001,Nov,Monday,Suppressed,Suppressed
48001,Nov,Tuesday,Suppressed,0
48001,Nov,Wednesday,Suppressed,0
48001,Nov,Thursday,Suppressed,Suppressed
48001,Nov,Friday,Suppressed,Suppressed
48001,Nov,Saturday,Suppressed,Suppressed
48001,Nov,Unknown,0,0
48001,Dec,Sunday,Suppressed,Suppressed
48001,Dec,Monday,Suppressed,0
48001,Dec,Tuesday,Suppressed,Suppressed
48001,Dec,Wednesday,Suppressed,0
48001,Dec,Thursday,Suppressed,Suppressed
48001,Dec,Friday,Suppressed,0
48001,Dec,Saturday,Suppressed,Suppressed
48001,Dec,Unknown,0,0
48003,Jan,Sunday,Suppressed,Suppressed
48003,Jan,Monday,Suppressed,Suppressed
48003,Jan,Tuesday,Suppressed,Suppressed
48003,Jan,Wednesday,Suppressed,Suppressed
48003,Jan,Thursday,Suppressed,Suppressed
48003,Jan,Friday,Suppressed,0
48003,Jan,Saturday,0,0
48003,Jan,Unknown,0,0
48003,Feb,Sunday,0,0
48003,Feb,Monday,Suppressed,Suppressed
48003,Feb,Tuesday,0,0
48003,Feb,Wednesday,0,0
48003,Feb,Thursday,Suppressed,Suppressed
48003,Feb,Friday,Suppressed,0
48003,Feb,Saturday,Suppressed,0
48003,Feb,Unknown,0,0
48003,Mar,Sunday,0,0
48003,Mar,Monday,0,0
48003,Mar,Tuesday,0,0
48003,Mar,Wednesday,0,0
48003,Mar,Thursday,Suppressed,0
48003,Mar,Friday,Suppressed,Suppressed
48003,Mar,Saturday,Suppressed,0
48003,Mar,Unknown,0,0
48003,Apr,Sunday,Suppressed,0
48003,Apr,Monday,0,0
48003,Apr,Tuesday,0,0
48003,Apr,Wednesday,0,0
48003,Apr,Thursday,Suppressed,0
48003,Apr,Friday,0,0
48003,Apr,Saturday,0,0
48003,Apr,Unknown,0,0
48003,May,Sunday,Suppressed,0
48003,May,Monday,Suppressed,0
48003,May,Tuesday,Suppressed,0
48003,May,Wednesday,Suppressed,0
48003,May,Thursday,Suppressed,0
48003,May,Friday,0,0
48003,May,Saturday,Suppressed,0
48003,May,Unknown,0,0
48003,Jun,Sunday,Suppressed,0
48003,Jun,Monday,0,0
48003,Jun,Tuesday,Suppressed,0
48003,Jun,Wednesday,Suppressed,0
48003,Jun,Thursday,0,0
48003,Jun,Friday,Suppressed,0
48003,Jun,Saturday,Suppressed,0
48003,Jun,Unknown,0,0
48003,Jul,Sunday,Suppressed,0
48003,Jul,Monday,Suppressed,0
48003,Jul,Tuesday,Suppressed,0
48003,Jul,Wednesday,0,0
48003,Jul,Thursday,0,0
48003,Jul,Friday,Suppressed,0
48003,Jul,Saturday,0,0
48003,Jul,Unknown,0,0
48003,Aug,Sunday,Suppressed,Suppressed
48003,Aug,Monday,Suppressed,0
48003,Aug,Tuesday,Suppressed,0
48003,Aug,Wednesday,Suppressed,0
48003,Aug,Thursday,0,0
48003,Aug,Friday,Suppressed,Suppressed
48003,Aug,Saturday,0,0
48003,Aug,Unknown,0,0
48003,Sep,Sunday,Suppressed,Suppressed
48003,Sep,Monday,Suppressed,0
48003,Sep,Tuesday,Suppressed,Suppressed
48003,Sep,Wednesday,Suppressed,0
48003,Sep,Thursday,Suppressed,0
48003,Sep,Friday,Suppressed,Suppressed
48003,Sep,Saturday,Suppressed,Suppressed
48003,Sep,Unknown,0,0
48003,Oct,Sunday,Suppressed,Suppressed
48003,Oct,Monday,Suppressed,Suppressed
48003,Oct,Tuesday,0,0
48003,Oct,Wednesday,Suppressed,0
48003,Oct,Thursday,Suppressed,Suppressed
48003,Oct,Friday,Suppressed,Suppressed
48003,Oct,Saturday,Suppressed,Suppressed
48003,Oct,Unknown,0,0
48003,Nov,Sunday,0,0
48003,Nov,Monday,0,0
48003,Nov,Tuesday,Suppressed,0
48003,Nov,Wednesday,Suppressed,Suppressed
48003,Nov,Thursday,Suppressed,Suppressed
48003,Nov,Friday,Suppressed,0
48003,Nov,Saturday,Suppressed,Suppressed
48003,Nov,Unknown,0,0
48003,Dec,Sunday,Suppressed,0
48003,Dec,Monday,Suppressed,Suppressed
48003,Dec,Tuesday,Suppressed,0
48003,Dec,Wednesday,0,0
48003,Dec,Thursday,Suppressed,0
48003,Dec,Friday,0,0
48003,Dec,Saturday,Suppressed,Suppressed
48003,Dec,Unknown,0,0
48005,Jan,Sunday,17,10
48005,Jan,Monday,19,15
48005,Jan,Tuesday,20,13
48005,Jan,Wednesday,13,Suppressed
48005,Jan,Thursday,17,Suppressed
48005,Jan,Friday,16,11
48005,Jan,Saturday,15,Suppressed
48005,Jan,Unknown,0,0
48005,Feb,Sunday,10,Suppressed
48005,Feb,Monday,18,Suppressed
48005,Feb,Tuesday,Suppressed,Suppressed
48005,Feb,Wednesday,15,Suppressed
48005,Feb,Thursday,Suppressed,Suppressed
48005,Feb,Friday,Suppressed,Suppressed
48005,Feb,Saturday,Suppressed,Suppressed
48005,Feb,Unknown,0,0
48005,Mar,Sunday,Suppressed,0
48005,Mar,Monday,Suppressed,Suppressed
48005,Mar,Tuesday,10,Suppressed
48005,Mar,Wednesday,10,Suppressed
48005,Mar,Thursday,Suppressed,Suppressed
48005,Mar,Friday,13,Suppressed
48005,Mar,Saturday,Suppressed,0
48005,Mar,Unknown,0,0
48005,Apr,Sunday,Suppressed,Suppressed
48005,Apr,Monday,Suppressed,0
48005,Apr,Tuesday,Suppressed,0
48005,Apr,Wednesday,10,Suppressed
48005,Apr,Thursday,Suppressed,0
48005,Apr,Friday,Suppressed,0
48005,Apr,Saturday,12,Suppressed
48005,Apr,Unknown,0,0
48005,May,Sunday,13,Suppressed
48005,May,Monday,Suppressed,0
48005,May,Tuesday,Suppressed,0
48005,May,Wednesday,Suppressed,Suppressed
48005,May,Thursday,Suppressed,0
48005,May,Friday,Suppressed,Suppressed
48005,May,Saturday,10,0
48005,May,Unknown,0,0
48005,Jun,Sunday,Suppressed,0
48005,Jun,Monday,Suppressed,0
48005,Jun,Tuesday,10,0
48005,Jun,Wednesday,10,0
48005,Jun,Thursday,Suppressed,Suppressed
48005,Jun,Friday,Suppressed,0
48005,Jun,Saturday,Suppressed,Suppressed
48005,Jun,Unknown,0,0
48005,Jul,Sunday,Suppressed,0
48005,Jul,Monday,Suppressed,0
48005,Jul,Tuesday,Suppressed,0
48005,Jul,Wednesday,Suppressed,0
48005,Jul,Thursday,10,Suppressed
48005,Jul,Friday,Suppressed,Suppressed
48005,Jul,Saturday,Suppressed,0
48005,Jul,Unknown,0,0
48005,Aug,Sunday,17,Suppressed
