year,state,county,county_code,annual_county_population,annual_all_deaths,annual_hospital_deaths,month,monthly_hospital_deaths,monthly_covid_hospital_deaths
2018,TX,Anderson,48001,58057,692,409,1,48,0
2018,TX,Anderson,48001,58057,692,409,2,33,0
2018,TX,Anderson,48001,58057,692,409,3,51,0
2018,TX,Anderson,48001,58057,692,409,4,31,0
2018,TX,Anderson,48001,58057,692,409,5,22,0
2018,TX,Anderson,48001,58057,692,409,6,30,0
2018,TX,Anderson,48001,58057,692,409,7,31,0
2018,TX,Anderson,48001,58057,692,409,8,34,0
2018,TX,Anderson,48001,58057,692,409,9,23,0
2018,TX,Anderson,48001,58057,692,409,10,31,0
2018,TX,Anderson,48001,58057,692,409,11,40,0
2018,TX,Anderson,48001,58057,692,409,12,35,0
2018,TX,Andrews,48003,18128,130,89,1,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,2,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,3,11,0
2018,TX,Andrews,48003,18128,130,89,4,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,5,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,6,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,7,13,0
2018,TX,Andrews,48003,18128,130,89,8,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,9,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,10,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,11,Suppressed,0
2018,TX,Andrews,48003,18128,130,89,12,11,0
2018,TX,Angelina,48005,87092,964,655,1,74,0
2018,TX,Angelina,48005,87092,964,655,2,60,0
2018,TX,Angelina,48005,87092,964,655,3,54,0
2018,TX,Angelina,48005,87092,964,655,4,52,0
2018,TX,Angelina,48005,87092,964,655,5,50,0
2018,TX,Angelina,48005,87092,964,655,6,51,0
2018,TX,Angelina,48005,87092,964,655,7,58,0
2018,TX,Angelina,48005,87092,964,655,8,59,0
2018,TX,Angelina,48005,87092,964,655,9,42,0
2018,TX,Angelina,48005,87092,964,655,10,47,0
2018,TX,Angelina,48005,87092,964,655,11,48,0
2018,TX,Angelina,48005,87092,964,655,12,60,0
