year,state,county,county_code,county_population,annual_adj_deaths,annual_crude_rate_10k
2018,OK,Adair,40001,22082,156,70.64577483923557
2018,OK,Alfalfa,40003,5754,39,67.77893639207508
2018,OK,Atoka,40005,13838,88,63.593004769475364
2018,OK,Beaver,40007,5319,38,71.44200037601053
2018,OK,Beckham,40009,21709,145,66.79257450826846
2018,OK,Blaine,40011,9485,79,83.28940432261466
2018,OK,Bryan,40013,47192,322,68.23190371249365
2018,OK,Caddo,40015,28977,258,89.03613210477276
2018,OK,Canadian,40017,144447,707,48.94528789106039
2018,OK,Carter,40019,48177,349,72.44120638478942
2018,OK,Cherokee,40021,48675,313,64.30405752439651
2018,OK,Choctaw,40023,14668,126,85.90128170166349
2018,OK,Cimarron,40025,2153,13,60.38086391082211
2018,OK,Cleveland,40027,281669,1231,43.703779968686646
2018,OK,Coal,40029,5520,46,83.33333333333333
2018,OK,Comanche,40031,120422,660,54.8072611316869
2018,OK,Cotton,40033,5776,44,76.17728531855956
2018,OK,Craig,40035,14306,110,76.89081504263945
2018,OK,Creek,40037,71604,484,67.59398916261661
2018,OK,Custer,40039,29036,224,77.14561234329798
2018,OK,Delaware,40041,42733,355,83.07397093581073
2018,OK,Dewey,40043,4894,36,73.55946056395587
2018,OK,Ellis,40045,3952,40,101.21457489878543
2018,OK,Garfield,40047,60913,445,73.0550128872326
2018,OK,Garvin,40049,27811,236,84.85850922296933
2018,OK,Grady,40051,55551,353,63.545210707277995
2018,OK,Grant,40053,4326,44,101.71058714748035
2018,OK,Greer,40055,5821,38,65.28087957395637
2018,OK,Harmon,40057,2664,30,112.61261261261261
2018,OK,Harper,40059,3797,27,71.1087700816434
2018,OK,Haskell,40061,12668,89,70.2557625513104
2018,OK,Hughes,40063,13335,112,83.98950131233596
2018,OK,Jackson,40065,24949,176,70.54390957553409
2018,OK,Jefferson,40067,6123,57,93.09162175404214
2018,OK,Johnston,40069,10949,90,82.19928760617407
2018,OK,Kay,40071,44161,380,86.04877606938248
2018,OK,Kingfisher,40073,15816,118,74.60799190692968
2018,OK,Kiowa,40075,8729,93,106.5414136785428
2018,OK,Latimer,40077,10231,80,78.19372495357248
2018,OK,Le Flore,40079,49980,402,80.43217286914766
2018,OK,Lincoln,40081,34920,243,69.58762886597938
2018,OK,Logan,40083,47291,217,45.88610940770972
2018,OK,Love,40085,10134,76,74.99506611407143
2018,OK,McClain,40087,39985,213,53.269976241090404
2018,OK,McCurtain,40089,32703,235,71.85885086995077
2018,OK,McIntosh,40091,19815,177,89.32626797880394
2018,OK,Major,40093,7644,85,111.19832548403977
2018,OK,Marshall,40095,16806,119,70.80804474592408
2018,OK,Mayes,40097,41107,274,66.65531418006665
2018,OK,Murray,40099,13953,133,95.320002866767
2018,OK,Muskogee,40101,68362,600,87.76805827799069
2018,OK,Noble,40103,11289,96,85.03853308530428
2018,OK,Nowata,40105,10218,78,76.33587786259541
2018,OK,Okfuskee,40107,12098,121,100.01653165812532
2018,OK,Oklahoma,40109,792582,4568,57.634415114145916
2018,OK,Okmulgee,40111,38335,321,83.73548976131472
2018,OK,Osage,40113,47014,272,57.85510698940741
2018,OK,Ottawa,40115,31175,263,84.36246992782678
2018,OK,Pawnee,40117,16390,121,73.8255033557047
2018,OK,Payne,40119,82040,357,43.515358361774744
2018,OK,Pittsburg,40121,43877,345,78.62889440937165
2018,OK,Pontotoc,40123,38247,285,74.51564828614009
2018,OK,Pottawatomie,40125,72679,529,72.78581158243784
2018,OK,Pushmataha,40127,11179,81,72.45728598264604
2018,OK,Roger Mills,40129,3656,18,49.23413566739606
2018,OK,Rogers,40131,91984,533,57.944859975647944
2018,OK,Seminole,40133,24578,218,88.69720888599561
2018,OK,Sequoyah,40135,41179,352,85.48046334296608
2018,OK,Stephens,40137,43265,379,87.59967641280481
2018,OK,Texas,40139,20455,117,57.19872891713517
2018,OK,Tillman,40141,7348,63,85.73761567773545
2018,OK,Tulsa,40143,648360,4027,62.11055586402616
2018,OK,Wagoner,40145,80110,363,45.31269504431406
2018,OK,Washington,40147,51843,439,84.67874158517061
2018,OK,Washita,40149,11127,88,79.08690572481352
2018,OK,Woods,40151,8897,80,89.91794987074294
2018,OK,Woodward,40153,20222,123,60.82484422905746
2019,OK,Adair,40001,22194,125,56.321528340993055
2019,OK,Alfalfa,40003,5702,40,70.1508242721852
2019,OK,Atoka,40005,13758,94,68.32388428550661
2019,OK,Beaver,40007,5311,47,88.49557522123894
